Hour,Coal,Gas,Nuclear,Hydro,Wind,Solar,Other,Storage,ACTUAL_LMP_ILLINOIS_HUB,DA_LMP_ILLINOIS HUB
1,"16,024.90","7,056.50","4,695.10",523.8,"5,757.40",0.2,410.4,0,48.88,58.66
2,"15,998.80","6,571.40","4,693.60",516.3,"5,622.00",0.1,385.3,0,57.9,52.69
3,"16,062.00","6,560.50","4,696.60",491.4,"4,857.20",0.2,363.3,0,56.72,52
4,"15,931.80","6,538.20","4,697.40",501.1,"4,356.20",0.2,359.7,0,52.85,50.19
5,"16,059.20","6,508.80","4,697.60",498.6,"4,068.40",0.1,371.1,0,49.99,50.39
6,"16,747.90","7,122.90","4,697.60",668.7,"3,557.80",0.2,403.3,0,82.03,53
7,"17,377.20","8,280.10","4,696.70","2,077.30","2,875.50",0.2,435,0,72.3,64.95
8,"18,187.30","10,196.40","4,699.50","2,262.00","2,381.30",0.3,453,0,200.02,97.86
9,"18,525.30","10,544.90","4,699.70","2,112.10","2,053.40",59.9,460.7,0,68.06,79.94
10,"18,635.50","10,651.60","4,698.20","1,574.00","2,170.10",361.8,436.5,5.8,95.7,72.8
11,"18,609.30","10,117.50","4,699.80","1,380.00","1,950.00",694.7,416.2,2.6,84.31,68.64
12,"17,930.70","9,633.20","4,695.40",755,"1,664.80",926.3,419.1,1.6,94.76,64.59
13,"17,330.20","9,005.10","4,697.90",524.3,"1,756.90",915.2,420.3,0,52.97,60.71
14,"17,217.70","8,451.10","4,697.40",533.7,"2,183.80",870.2,410.8,0,54.91,57.22
15,"16,984.40","7,619.90","4,694.70",563,"2,351.50","1,047.50",395.5,0.2,63.61,49.73
16,"16,821.30","7,365.60","4,692.40",567.3,"2,630.90","1,024.30",398,0.6,44.64,47.05
17,"16,987.90","7,924.50","4,693.00",645.2,"2,678.50",433.9,406.9,0,51.39,48.37
18,"17,073.90","8,944.50","4,691.00","1,480.60","2,930.10",26.7,420.2,9,76.72,56.49
19,"17,220.60","10,275.20","4,692.10","1,436.90","3,555.10",1.6,418.1,0.8,59.06,54.42
20,"17,172.90","10,266.20","4,692.40","1,139.50","4,489.20",1.4,418.9,0,62.43,49.95
21,"17,155.10","9,440.80","4,691.10",625.1,"4,908.00",1.2,418.9,0,65.02,44.35
22,"16,854.10","8,537.50","4,692.30",595.1,"4,981.00",1.4,407,0,46.17,41.48
23,"16,180.30","7,186.30","4,692.50",601,"4,863.00",1.6,380.4,0,28.83,36.23
24,"15,553.10","6,021.20","4,692.60",581.8,"5,038.10",1.4,365.7,0,27.59,33.98
