RefId,14-Jan-2023 - Interval 00:00 EST

ForecastDateTimeEST,ForecastHourEndingEST,ForecastValue,ActualDateTimeEST,ActualHourEndingEST,ActualValue
2023-01-13 12:00:00 AM,1,13681.00,2023-01-13 12:00:00 AM,1,15962.88
2023-01-13 1:00:00 AM,2,13042.00,2023-01-13 1:00:00 AM,2,15792.71
2023-01-13 2:00:00 AM,3,12434.00,2023-01-13 2:00:00 AM,3,14282.88
2023-01-13 3:00:00 AM,4,11942.00,2023-01-13 3:00:00 AM,4,12706.08
2023-01-13 4:00:00 AM,5,11652.00,2023-01-13 4:00:00 AM,5,12108.91
2023-01-13 5:00:00 AM,6,11359.00,2023-01-13 5:00:00 AM,6,11168.11
2023-01-13 6:00:00 AM,7,10938.00,2023-01-13 6:00:00 AM,7,10139.19
2023-01-13 7:00:00 AM,8,10253.00,2023-01-13 7:00:00 AM,8,9339.16
2023-01-13 8:00:00 AM,9,9199.00,2023-01-13 8:00:00 AM,9,8671.51
2023-01-13 9:00:00 AM,10,8514.00,2023-01-13 9:00:00 AM,10,7660.86
2023-01-13 10:00:00 AM,11,8192.00,2023-01-13 10:00:00 AM,11,7191.40
2023-01-13 11:00:00 AM,12,7951.00,2023-01-13 11:00:00 AM,12,7268.49
2023-01-13 12:00:00 PM,13,7774.00,2023-01-13 12:00:00 PM,13,7481.45
2023-01-13 1:00:00 PM,14,7798.00,2023-01-13 1:00:00 PM,14,7917.99
2023-01-13 2:00:00 PM,15,7882.00,2023-01-13 2:00:00 PM,15,8452.33
2023-01-13 3:00:00 PM,16,7920.00,2023-01-13 3:00:00 PM,16,8875.86
2023-01-13 4:00:00 PM,17,8078.00,2023-01-13 4:00:00 PM,17,9006.28
2023-01-13 5:00:00 PM,18,8503.00,2023-01-13 5:00:00 PM,18,9343.05
2023-01-13 6:00:00 PM,19,9145.00,2023-01-13 6:00:00 PM,19,9173.69
2023-01-13 7:00:00 PM,20,9723.00,2023-01-13 7:00:00 PM,20,9379.46
2023-01-13 8:00:00 PM,21,10408.00,2023-01-13 8:00:00 PM,21,9938.84
2023-01-13 9:00:00 PM,22,11082.00,2023-01-13 9:00:00 PM,22,10711.92
2023-01-13 10:00:00 PM,23,11629.00,2023-01-13 10:00:00 PM,23,11504.12
2023-01-13 11:00:00 PM,24,12109.00,2023-01-13 11:00:00 PM,24,12230.00
2023-01-14 12:00:00 AM,1,12619.00,,,
2023-01-14 1:00:00 AM,2,13171.00,,,
2023-01-14 2:00:00 AM,3,13643.00,,,
2023-01-14 3:00:00 AM,4,14077.00,,,
2023-01-14 4:00:00 AM,5,14503.00,,,
2023-01-14 5:00:00 AM,6,14748.00,,,
2023-01-14 6:00:00 AM,7,15066.00,,,
2023-01-14 7:00:00 AM,8,15506.00,,,
2023-01-14 8:00:00 AM,9,15788.00,,,
2023-01-14 9:00:00 AM,10,15952.00,,,
2023-01-14 10:00:00 AM,11,15612.00,,,
2023-01-14 11:00:00 AM,12,15097.00,,,
2023-01-14 12:00:00 PM,13,15104.00,,,
2023-01-14 1:00:00 PM,14,15294.00,,,
2023-01-14 2:00:00 PM,15,15592.00,,,
2023-01-14 3:00:00 PM,16,15936.00,,,
2023-01-14 4:00:00 PM,17,16614.00,,,
2023-01-14 5:00:00 PM,18,17643.00,,,
2023-01-14 6:00:00 PM,19,18920.00,,,
2023-01-14 7:00:00 PM,20,19863.00,,,
2023-01-14 8:00:00 PM,21,20492.00,,,
2023-01-14 9:00:00 PM,22,20847.00,,,
2023-01-14 10:00:00 PM,23,21121.00,,,
2023-01-14 11:00:00 PM,24,21242.00,,,
