Node,Type,Value,HE 1,HE 2,HE 3,HE 4,HE 5,HE 6,HE 7,HE 8,HE 9,HE 10,HE 11,HE 12,HE 13,HE 14,HE 15,HE 16,HE 17,HE 18,HE 19,HE 20,HE 21,HE 22,HE 23,HE 24
AECI,Interface,LMP,44.02,54.7,53.61,47.15,41.73,34.24,14.07,149.15,37.1,29.57,28.04,36.84,41.84,27.7,10.99,8.65,40.68,22.19,57.05,102.71,52.71,47.08,21.5,0.75
AECI.ALTW,Loadzone,LMP,50.06,58.69,57.71,53.32,49.09,58.57,41.15,142.61,46.36,35.61,20.94,35.06,44.31,33.3,13.67,22.83,38.77,41.91,44.91,44.63,31.25,27.06,10.78,1.27
AECI.AMMO,Loadzone,LMP,40.04,56.36,55.61,50.05,45.18,91.88,94.45,232.37,73.65,50.32,27.98,43.47,49.05,42.65,15.03,61.2,68.28,100.58,81.11,137.11,107.01,90.96,69.1,61.22
AECI.APM_1.AZ,Hub,LMP,39.99,56.36,55.61,50.04,45.16,92.03,94.71,232.7,73.76,50.83,28.53,44.01,49.05,42.79,15.49,61.34,68.34,100.73,81.09,137.32,107.2,91.15,69.3,61.47
AECI.APM_2.AZ,Hub,LMP,42.71,54.28,53.34,48.16,43.98,-100.41,-210.96,-92.08,-59.62,-33.8,23.62,34.04,38.46,-10.53,-8.94,-146.68,-18.47,-176.02,32.65,5.91,-113.2,-89.82,-133.89,-199.21
AECI.CWLD,Loadzone,LMP,42.71,54.28,53.34,48.16,43.98,-100.41,-210.96,-92.08,-59.62,-33.8,23.62,34.04,38.46,-10.53,-8.94,-146.68,-18.47,-176.02,32.65,5.91,-113.2,-89.82,-133.89,-199.21
AEP,Interface,LMP,49.63,59.02,57.82,55.05,51.73,85.13,73.91,203.89,69.87,83.32,69,81.04,55.12,53.17,50.22,47.09,55.1,79.19,76.43,88.23,69.63,61.02,66.58,49.53
AEP.PSGC1.AMP,Gennode,LMP,42.44,56.01,55.09,50.14,45.99,90.05,90.29,224.91,71.36,68.8,50.94,63.8,48.37,45.97,35.32,51.35,65.67,98.1,88.25,126.68,98.98,78.2,37.15,25.68
AEP.PSGC2.AMP,Gennode,LMP,42.44,56.01,55.09,50.14,45.99,90.05,90.29,224.91,71.36,68.8,50.94,63.8,48.37,45.97,35.32,51.35,65.67,98.1,88.25,126.68,98.98,78.2,37.15,25.68
AEP.WVPA.GIB5,Gennode,LMP,50.89,60.04,58.78,54.57,51.59,84.14,74.02,213.39,69.37,74.48,59.21,70.4,53.98,52.37,46.14,59.92,78.98,95.37,110.99,150.27,94.93,85.37,107.4,88.06
ALTE.1ROCKGEN,Gennode,LMP,49.71,61.57,60.4,66.5,62.3,95.49,87.54,221.21,95.66,97.2,75.16,95.04,83.33,71.47,49.61,53.58,50.82,85.47,46.17,51.12,59.87,60.61,51.94,33.52
ALTE.ALTE,Loadzone,LMP,50.88,63.68,62.52,70.9,66.8,102.52,92.87,231.87,93.28,96.81,77.23,97.63,80.54,71.6,53.59,56.14,54.58,90.96,51.78,54.26,63.9,65.16,54.29,33.99
ALTE.AZ,Hub,LMP,50.86,63.56,62.4,70.49,66.46,102.17,92.39,231.06,93.31,96.9,77.32,97.67,80.58,71.59,53.62,56.07,54.26,90.34,51.54,54.15,63.4,64.57,54.12,33.83
ALTE.BEARCRK,Gennode,LMP,52.19,65.14,64.09,73.2,70.74,115.23,99.37,236.55,71.33,69.93,50.83,69.95,51.94,46.42,31.89,35.79,39.59,82.16,43.96,47.66,50.46,46.96,25.06,17.44
ALTE.CC.RIVS1,Gennode,LMP,49.22,60.82,59.61,64.43,60.42,93.16,84.81,216.96,88.46,96.24,76.96,94.84,75.02,66.69,52.52,50.16,44.63,80.14,41.62,48.58,56.71,57.23,48.81,32.38
ALTE.CC.RIVS2,Gennode,LMP,49.22,60.82,59.61,64.43,60.42,93.16,84.81,216.96,88.46,96.24,76.96,94.84,75.02,66.69,52.52,50.16,44.63,80.14,41.62,48.58,56.71,57.23,48.81,32.38
ALTE.CC.WRIVS1,Gennode,LMP,49.2,60.59,59.41,64.04,60.06,92.76,84.54,216.42,89.09,96.9,77.78,95.94,76.3,67.74,53.2,50.78,45.38,80.54,42.63,49.52,56.86,57.12,49.28,32.26
ALTE.CC.WRIVS2,Gennode,LMP,49.24,60.63,59.46,64.08,60.1,92.83,84.6,216.62,89.16,96.98,77.81,95.97,76.32,67.76,53.22,50.83,45.45,80.66,42.76,49.67,56.9,57.12,49.28,32.26
ALTE.CEDARDGE,Gennode,LMP,49.94,62.63,61.5,70.2,65.66,99.65,92.28,230.69,93.92,96.39,76.01,96.29,81.49,71.64,51.69,55.8,52.42,88.06,49,53.56,61.16,62.03,54.14,34.23
ALTE.COLUMBAL1,Gennode,LMP,49.73,61.96,60.83,68.39,63.98,97.28,89.98,224.49,103.34,104.44,80.36,101.85,91.58,77.4,52.12,55.97,55.46,89.01,49.77,51.79,61.58,62.89,54.41,34.48
ALTE.COLUMBAL2,Gennode,LMP,49.74,61.97,60.83,68.39,63.98,97.29,89.99,224.49,103.35,104.44,80.37,101.86,91.59,77.41,52.12,55.97,55.46,89,49.78,51.8,61.58,62.89,54.41,34.48
ALTE.CRAWFISH,Gennode,LMP,50.36,62.37,61.18,67.51,63.26,97.01,89.11,224.87,95.29,97.19,75.73,95.8,83.21,71.87,50.55,54.64,51.71,86.63,47.32,52.57,61.1,61.89,53.27,34.25
ALTE.EDG3.ARR,Hub,LMP,49.9,62.26,61.07,68.77,64.38,98.08,90.52,227.46,90.4,92.92,75.57,98.73,77.66,69.54,51.21,53.89,49.23,85.45,46.88,53.35,59.73,60.12,52.6,33.6
ALTE.EDGG5G5,Gennode,LMP,49.71,62,60.81,68.43,64.06,97.61,90.06,226.36,89.77,92.27,75.08,98.17,77.07,69.33,52.64,53.42,48.03,84.49,46.32,52.89,59.27,59.65,52.17,33.32
ALTE.JUN31.ARR,Hub,LMP,56.11,70.39,69.09,79.88,76.79,122.17,108.76,284.89,188.62,211.13,190.59,212.05,192.29,184.63,166.61,172.04,172.37,183.25,135.53,87.1,145.17,178.33,167.67,71.14
ALTE.KILBOUNIL,Gennode,LMP,51.27,64.18,63.05,72.23,69.13,110.03,96.82,245.32,140.92,152.39,130.9,151.79,137.14,126.77,106.09,110.48,110.78,133.5,87.62,64.24,101.83,119.54,105.53,48.84
ALTE.NEENAHG1,Gennode,LMP,50.79,64.19,63,73.12,68.34,102.97,95.63,236.34,89.89,92.37,73.35,93.76,77.06,68.97,50.68,55.02,51.16,89.05,51.32,56.13,61.26,61.05,53.69,34.77
ALTE.NEENAHG2,Gennode,LMP,50.79,64.19,63,73.12,68.34,102.97,95.63,236.34,89.89,92.37,73.35,93.76,77.06,68.97,50.68,55.02,51.16,89.05,51.32,56.13,61.26,61.05,53.69,34.77
ALTE.NLSD1.ARR,Hub,LMP,49.07,60.18,59.44,64.01,63.51,102.01,74.84,191.11,46.4,49.43,39.93,54.86,35.02,32.23,27.41,23.46,18.75,41.83,38.65,37.7,14.89,5.1,13.4,8.29
ALTE.NLSD2.ARR,Hub,LMP,49.06,60.18,59.43,64,63.5,102,74.84,191.1,46.41,49.44,39.94,54.87,35.04,32.24,27.42,23.48,18.76,41.83,38.65,37.7,14.89,5.1,13.41,8.29
ALTE.NROCK,Gennode,LMP,50.74,62.71,61.5,67.05,64.35,102.91,88.77,224.84,92.63,92.76,70.49,89.52,77.29,66.74,47.01,50.78,49.71,88.05,47.22,53.14,63.14,63.63,51.66,34.54
ALTE.PAR_1.AZ,Hub,LMP,50.93,63.46,62.34,70.17,65.72,100.06,92.62,232.39,101.77,104.13,81.69,102.64,89.65,77.76,55.3,59.35,58,92.64,52.88,54.53,65.33,67.46,58.11,36.23
ALTE.PDSG1S1,Gennode,LMP,50.42,62.71,61.63,69.2,64.76,98.56,91.41,229.19,104.74,106.72,83.24,104.45,92.88,79.88,56.11,60.09,61.06,96.11,54.03,54.38,68.7,71.67,59.27,36.74
ALTE.PPKC.ESR1,Gennode,LMP,50.35,62.75,61.65,69.46,65,98.83,91.57,229.63,106.14,108.68,85.52,106.66,94.82,82.05,58.51,62.48,62.71,96.5,54.93,54.09,68.85,72.54,61.43,37.22
ALTE.QUILTBLCK,Gennode,LMP,49.79,61.16,60.28,65.21,63.98,108.63,89.38,216.48,73.18,74.74,57.46,74.01,56.63,51.8,39.8,43.5,24.74,44.54,45.55,48.29,7.85,-5.39,25.57,12.27
ALTE.ROCKGEN2,Gennode,LMP,49.71,61.57,60.4,66.5,62.3,95.49,87.54,221.21,95.66,97.2,75.16,95.04,83.33,71.47,49.61,53.58,50.82,85.47,46.17,51.12,59.87,60.61,51.94,33.52
ALTE.ROCKGEN3,Gennode,LMP,49.71,61.57,60.4,66.5,62.3,95.49,87.54,221.21,95.66,97.2,75.16,95.04,83.33,71.47,49.61,53.58,50.82,85.47,46.17,51.12,59.87,60.61,51.94,33.52
ALTE.SFONDDLG1,Gennode,LMP,49.93,62.62,61.48,70.19,65.64,99.61,92.29,230.3,93.94,96.32,75.86,96.17,81.54,71.61,51.53,55.65,52.36,88.23,49.6,53.61,61.12,61.97,54.05,34.24
ALTE.SFONDDLG2,Gennode,LMP,49.93,62.62,61.48,70.19,65.64,99.61,92.29,230.3,93.94,96.32,75.86,96.17,81.54,71.61,51.53,55.65,52.36,88.23,49.6,53.61,61.12,61.97,54.05,34.24
ALTE.SFONDDLG3,Gennode,LMP,49.93,62.62,61.48,70.19,65.64,99.61,92.29,230.3,93.94,96.32,75.86,96.17,81.54,71.61,51.53,55.65,52.36,88.23,49.6,53.61,61.12,61.97,54.05,34.24
ALTE.SFONDDLG4,Gennode,LMP,49.93,62.62,61.48,70.19,65.64,99.61,92.29,230.3,93.94,96.32,75.86,96.17,81.54,71.61,51.53,55.65,52.36,88.23,49.6,53.61,61.12,61.97,54.05,34.24
ALTE.SHEB1,Gennode,LMP,49.9,62.53,61.34,69.55,65.08,98.86,91.22,228.42,86,90.58,72.77,95.66,73.03,66.8,54,52.3,46.43,84.06,46.29,53.63,56.89,56.36,51.25,32.95
ALTE.SHEB2,Gennode,LMP,49.9,62.53,61.34,69.55,65.08,98.86,91.22,228.42,86,90.58,72.77,95.66,73.03,66.8,54,52.3,46.43,84.06,46.29,53.63,56.89,56.36,51.25,32.95
ALTE.SHPSN.ARR,Hub,LMP,50.72,62.69,61.47,67.03,64.32,102.88,88.74,224.74,92.64,93.53,71.58,90.73,78.09,67.5,47.59,51.57,50.25,88.03,47.18,53.09,63.1,63.59,51.62,34.53
ALTE.TOWNECT_1,Gennode,LMP,49.22,60.82,59.61,64.43,60.42,93.16,84.81,216.96,88.46,96.24,76.96,94.84,75.02,66.69,52.52,50.16,44.63,80.14,41.62,48.58,56.71,57.23,48.81,32.38
ALTE.TOWNECT_2,Gennode,LMP,49.22,60.82,59.61,64.43,60.42,93.16,84.81,216.96,88.46,96.24,76.96,94.84,75.02,66.69,52.52,50.16,44.63,80.14,41.62,48.58,56.71,57.23,48.81,32.38
ALTE.TOWNEST11,Gennode,LMP,49.22,60.82,59.61,64.43,60.42,93.16,84.81,216.96,88.46,96.24,76.96,94.84,75.02,66.69,52.52,50.16,44.63,80.14,41.62,48.58,56.71,57.23,48.81,32.38
ALTE.TOWNEST12,Gennode,LMP,49.22,60.82,59.61,64.43,60.42,93.16,84.81,216.96,88.46,96.24,76.96,94.84,75.02,66.69,52.52,50.16,44.63,80.14,41.62,48.58,56.71,57.23,48.81,32.38
ALTE.WOODCTY,Gennode,LMP,52.15,66.81,65.59,78.49,73.32,109.27,102.09,248.96,94.97,96.83,78.01,97.98,79.37,71.79,53.55,58.48,57.49,96.43,58.82,59.58,66.47,67.3,60.12,37.96
ALTE.WPPI_1.AZ,Hub,LMP,51.54,64.36,63.38,73.37,70.91,109.36,89.86,222.21,49.59,48.09,34.67,53.35,33.2,27.95,17.11,15.94,19.83,61.69,34.24,43.6,35.72,26.51,10.05,12.87
ALTE.WRIVS_CT1,Gennode,LMP,49.18,60.56,59.39,64.01,60.03,92.72,84.51,216.32,89.05,96.87,77.77,95.92,76.29,67.72,53.19,50.76,45.34,80.49,42.57,49.44,56.84,57.13,49.29,32.26
ALTE.WRIVS_CT2,Gennode,LMP,49.31,60.72,59.54,64.16,60.17,92.95,84.71,216.94,89.27,97.1,77.89,96.07,76.39,67.82,53.28,50.9,45.57,80.83,42.93,49.89,57,57.13,49.29,32.26
ALTE.WRIVS_ST1,Gennode,LMP,49.24,60.63,59.46,64.08,60.1,92.83,84.6,216.62,89.16,96.98,77.81,95.97,76.32,67.76,53.22,50.83,45.45,80.66,42.76,49.67,56.9,57.12,49.28,32.26
ALTE.WRIVS_ST2,Gennode,LMP,49.24,60.63,59.46,64.08,60.1,92.83,84.6,216.62,89.16,96.98,77.81,95.97,76.32,67.76,53.22,50.83,45.45,80.66,42.76,49.67,56.9,57.12,49.28,32.26
ALTW.8THST.ARR,Hub,LMP,48.27,56.82,56.03,52.1,53.29,92.35,61.1,164.3,47.43,46.82,35.35,47.7,37.94,33.83,26.32,27.97,27.39,50.82,40.89,38.3,27.87,21.9,19.39,10.92
ALTW.ADAMSADAM,Gennode,LMP,45.82,53.85,53.69,49.46,51.94,89.6,61.92,178.45,20.94,17.45,13.53,23.81,15.69,15.52,14.94,17.89,22.26,47.07,35.64,17.38,13.01,9.96,1.63,-1.43
ALTW.ALTW,Loadzone,LMP,47.68,55.73,55.06,49.91,49.62,78.35,48.22,133.21,42.09,38.16,29.91,41.96,36.59,31.71,23.89,24.97,31.51,45.88,39.88,31.68,26.26,22.64,13.59,5.53
