HourEnding EST (12-01-2022),Energy (J),CAISO g CO2 e/kWh,MISO g CO2 e/kWh,File size (MB),Sense time (s),MISO (mg CO2 e),CAISO (mg CO2 e)
1,50.35193100000001,312.935539428955,566.1475998693878,14.695349,4.565094,7.918506912344174,4.376919080215146
2,473.24328299999996,306.53773774507226,570.4381989567886,111.592728,27.560787,74.9877905619216,40.29636815940861
3,270.10995299999996,297.9053801705376,584.7637635923368,56.003409,14.160781,43.87514241667477,22.35200228786418
4,457.62058800000005,291.1407332778873,591.9033763844647,115.904744,27.627668,75.24088087229003,37.00888709816056
5,276.987735,294.17634933309296,599.0320802106314,55.737013,14.197762,46.090149747189194,22.634233525650604
6,631.921779,288.0615525688185,610.3337218369213,111.752047,27.617239,107.13421424635514,50.564546877997174
7,43.63299000000001,289.0080762111845,599.0335472767969,14.175398,4.180598,7.26045132722028,3.5028573609005145
8,541.041417,286.5107664586495,603.1883159975995,116.879666,27.527577,90.65273922366251,43.0594975195955
9,45.722232000000005,276.02039797794083,611.5819746485787,13.806198,4.184143,7.767470258861232,3.5056301869665956
10,61.436835,272.8460297587865,614.2083832166591,13.897341,4.203752,10.48194974869407,4.656332364082127
11,385.127487,265.0393518981141,618.3260100669227,57.498122,14.231545,66.14842844550294,28.3538720979526
12,161.64752399999998,251.86079389548192,625.2869738747538,28.150555,7.517715,28.07669197675184,11.309076034966377
13,615.881169,250.98211579410878,624.9817814585405,113.898243,27.580457,106.92069726899678,42.93754413149141
14,560.3014710000001,240.2481282236665,620.1012935855164,110.842493,27.605888,96.51212971249105,37.392049902421384
15,88.262316,234.39824858963883,615.947689354506,14.140672,4.165477,15.101380443688123,5.746814524129237
16,706.272354,222.49043590840512,610.8405431845832,101.331028,27.521969,119.83883009822617,43.64967886430983
17,61.110495,223.12933367778763,617.3137211871241,14.298734,4.170308,10.478985297788094,3.7876511194638254
18,106.375185,240.844174634403,600.4919241189192,28.014656,7.545651,17.743733199765554,7.116623231363035
19,217.115001,275.24294454690556,586.513356536484,27.770637,7.517865,35.372457775258916,16.599825605706766
20,237.56885999999997,290.79009029817615,576.2817219407154,26.351021,7.53038,38.02960881119243,19.189630625398543
21,276.686703,291.21204419008683,581.1421114877771,54.179443,14.290976,44.66508188944764,22.381805661345954
22,201.73006800000005,287.1785834132839,581.0852405736616,27.553411,7.545528,32.56176808186699,16.092376433362624
23,56.877066000000006,284.21198621432063,581.1422662086206,14.149831,4.199024,9.181574175149247,4.4903177494175015
24,508.61720699999995,285.4311297416609,576.0733044993848,111.670977,27.505364,81.38910976714934,40.32644000001616
